PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2173; LNum: 4; AvTime: 0.2092; AbsError: 0.0080; RelError: 0.0384 %; TaskPerf: 593086;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2098; LNum: 5; AvTime: 0.2092; AbsError: 0.0006; RelError: 0.0028 %; TaskPerf: 614129;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2082; LNum: 6; AvTime: 0.2092; AbsError: 0.0011; RelError: 0.0051 %; TaskPerf: 619000;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2062; LNum: 7; AvTime: 0.2092; AbsError: 0.0030; RelError: 0.0143 %; TaskPerf: 624805;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2167; LNum: 8; AvTime: 0.2092; AbsError: 0.0075; RelError: 0.0357 %; TaskPerf: 594612;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2114; LNum: 9; AvTime: 0.2092; AbsError: 0.0022; RelError: 0.0105 %; TaskPerf: 609422;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2062; LNum: 10; AvTime: 0.2092; AbsError: 0.0030; RelError: 0.0144 %; TaskPerf: 624831;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2058; LNum: 11; AvTime: 0.2092; AbsError: 0.0034; RelError: 0.0163 %; TaskPerf: 626080;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2075; LNum: 12; AvTime: 0.2092; AbsError: 0.0017; RelError: 0.0083 %; TaskPerf: 620974;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2061; LNum: 13; AvTime: 0.2092; AbsError: 0.0031; RelError: 0.0149 %; TaskPerf: 625180;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2055; LNum: 14; AvTime: 0.2092; AbsError: 0.0037; RelError: 0.0178 %; TaskPerf: 627025;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2067; LNum: 15; AvTime: 0.2092; AbsError: 0.0025; RelError: 0.0121 %; TaskPerf: 623417;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2063; LNum: 16; AvTime: 0.2092; AbsError: 0.0029; RelError: 0.0139 %; TaskPerf: 624518;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2073; LNum: 17; AvTime: 0.2092; AbsError: 0.0020; RelError: 0.0093 %; TaskPerf: 621644;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2083; LNum: 18; AvTime: 0.2092; AbsError: 0.0009; RelError: 0.0043 %; TaskPerf: 618476;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1445; LNum: 0; AvTime: 0.1454; AbsError: 0.0009; RelError: 0.0059 %; TaskPerf: 891653;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1478; LNum: 1; AvTime: 0.1454; AbsError: 0.0024; RelError: 0.0168 %; TaskPerf: 871767;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1403; LNum: 2; AvTime: 0.1454; AbsError: 0.0050; RelError: 0.0347 %; TaskPerf: 918258;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1406; LNum: 3; AvTime: 0.1454; AbsError: 0.0048; RelError: 0.0328 %; TaskPerf: 916442;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1410; LNum: 4; AvTime: 0.1454; AbsError: 0.0043; RelError: 0.0298 %; TaskPerf: 913613;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1420; LNum: 5; AvTime: 0.1454; AbsError: 0.0033; RelError: 0.0229 %; TaskPerf: 907200;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1421; LNum: 6; AvTime: 0.1454; AbsError: 0.0033; RelError: 0.0225 %; TaskPerf: 906791;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1481; LNum: 7; AvTime: 0.1454; AbsError: 0.0027; RelError: 0.0189 %; TaskPerf: 869951;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1472; LNum: 8; AvTime: 0.1454; AbsError: 0.0018; RelError: 0.0124 %; TaskPerf: 875536;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1436; LNum: 9; AvTime: 0.1454; AbsError: 0.0017; RelError: 0.0120 %; TaskPerf: 897155;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1412; LNum: 10; AvTime: 0.1454; AbsError: 0.0041; RelError: 0.0284 %; TaskPerf: 912276;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1411; LNum: 11; AvTime: 0.1454; AbsError: 0.0042; RelError: 0.0292 %; TaskPerf: 913050;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1413; LNum: 12; AvTime: 0.1454; AbsError: 0.0041; RelError: 0.0281 %; TaskPerf: 912021;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1421; LNum: 13; AvTime: 0.1454; AbsError: 0.0033; RelError: 0.0228 %; TaskPerf: 907035;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1508; LNum: 14; AvTime: 0.1454; AbsError: 0.0055; RelError: 0.0376 %; TaskPerf: 854231;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1414; LNum: 15; AvTime: 0.1454; AbsError: 0.0039; RelError: 0.0271 %; TaskPerf: 911047;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1404; LNum: 16; AvTime: 0.1454; AbsError: 0.0049; RelError: 0.0340 %; TaskPerf: 917603;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1401; LNum: 17; AvTime: 0.1454; AbsError: 0.0053; RelError: 0.0362 %; TaskPerf: 919647;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1457; LNum: 18; AvTime: 0.1454; AbsError: 0.0003; RelError: 0.0021 %; TaskPerf: 884562;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1461; LNum: 19; AvTime: 0.1454; AbsError: 0.0007; RelError: 0.0049 %; TaskPerf: 882023;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1435; LNum: 20; AvTime: 0.1454; AbsError: 0.0019; RelError: 0.0130 %; TaskPerf: 898099;
